product name,url,image url,price,mrp,discount,brand
ComfortRise Lite Running Shoes For Men,https://fkrt.cc/hQ1YRtW,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/j/k/f/-original-imahg3u4cvesrqzg.jpeg?q=70,2430,6499,62%,Flipkart BBD Sale
Keen IDP Running Shoes For Men,https://fkrt.cc/hzquTzq,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/w/f/u/-original-imahgbryfqmfxqtv.jpeg?q=70,1440,3999,63%,Flipkart BBD Sale
GEL-NIMBUS 26 Running Shoes For Men,https://fkrt.cc/hHa5G2T,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/a/a/f/-original-imahgbzahcfubmay.jpeg?q=70,7520,15999,52%,Flipkart BBD Sale
Running Shoes For Men,https://fkrt.cc/hw0QyES,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/k/2/g/8-31208302-8-puma-white-dark-slate-original-imahfnywngtuethy.jpeg?q=70,3440,7999,56%,Flipkart BBD Sale
GO RUN 400 Running Shoes For Men,https://fkrt.cc/hoz7cn6,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/h/f/x/-original-imahgcstvennytfa.jpeg?q=70,1845,4499,58%,Flipkart BBD Sale
Breakout Running Shoes For Men,https://fkrt.cc/hdXIUKt,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/l/p/q/-original-imahgctjhzg339da.jpeg?q=70,1131,3299,65%,Flipkart BBD Sale
GEL-CUMULUS 26 Running Shoes For Men,https://fkrt.cc/hM8KF54,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/e/r/4/-original-imahdfgf5vmpcy6s.jpeg?q=70,5160,11999,56%,Flipkart BBD Sale
Runesy M Running Shoes For Men,https://fkrt.cc/hZFT5xl,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/u/h/e/-original-imahfutfwwybbsdm.jpeg?q=70,1548,4299,63%,Flipkart BBD Sale
Harquin M Running Shoes For Men,https://fkrt.cc/henbypB,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/y/5/o/-original-imahgbrxz5zn3zgp.jpeg?q=70,1373,4299,68%,Flipkart BBD Sale
Runblaze M Running Shoes For Men,https://fkrt.cc/hUHwwnJ,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/r/1/j/8-jq0631-8-adidas-dkblue-silvmt-legink-original-imahftff8yupz9xz.jpeg?q=70,2240,5599,59%,Flipkart BBD Sale
Zig Titanica Lite Running Shoes For Men,https://fkrt.cc/hfgE5aJ,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/w/b/p/9-rmsora4354-10-reebok-black1-original-imahg4pjxj7sg6u5.jpeg?q=70,2100,4999,57%,Flipkart BBD Sale
Galaxis Pro Running Shoes For Men,https://fkrt.cc/hPBXBnJ,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/j/4/f/6-31176704-6-0-puma-gray-echo-white-orange-glo-original-imahf8fdwwkz2xeg.jpeg?q=70,3149,6999,55%,Flipkart BBD Sale
TEKTREL Running Shoes For Men,https://fkrt.cc/h2txKeT,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/v/m/l/-original-imahg6f67n2ucgee.jpeg?q=70,9999,,,Flipkart BBD Sale
Exotine 5.0 Running Shoes For Men,https://fkrt.cc/hslOMfE,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/o/1/v/-original-imahg3u4gvjf27zg.jpeg?q=70,2050,4999,58%,Flipkart BBD Sale
Sterlinn M Running Shoes For Men,https://fkrt.cc/hETwHIO,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/9/y/4/-original-imahgcstycefm2v4.jpeg?q=70,1918,5999,68%,Flipkart BBD Sale
GT-1000 13 Running Shoes For Men,https://fkrt.cc/hSIbeC3,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/b/j/s/-original-imahf7encu2ymxgy.jpeg?q=70,4000,9999,59%,Flipkart BBD Sale
Galaxis Pro Men's Performance Boost Running Shoes For Men,https://fkrt.cc/h927gxa,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/r/9/f/-original-imahgcs82pzevhqe.jpeg?q=70,3149,6999,55%,Flipkart BBD Sale
RUN STEADY M Running Shoes For Men,https://fkrt.cc/hGtOM0N,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/v/v/q/-original-imahgctkxnytw2hg.jpeg?q=70,2240,5599,59%,Flipkart BBD Sale
Ownthe Go Running Shoes For Men,https://fkrt.cc/hpX26fF,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/o/c/b/9-jk8335-9-adidas-black-grefou-secogr-original-imahg3cfvmzauexz.jpeg?q=70,2268,6299,63%,Flipkart BBD Sale
Jauntza M Running Shoes For Men,https://fkrt.cc/h0OjvHI,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/l/e/c/-original-imahgbrxqfxt4vhw.jpeg?q=70,1224,3599,65%,Flipkart BBD Sale
Transport Bay Running Shoes For Men,https://fkrt.cc/hoQMw5E,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/b/j/g/-original-imahgbry76ms2zgu.jpeg?q=70,2170,6999,68%,Flipkart BBD Sale
Running Shoes For Men,https://fkrt.cc/hVyMILp,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/3/r/c/-original-imah9mgkqxgpc8ca.jpeg?q=70,1399,3695,62%,Flipkart BBD Sale
GEL-CUMULUS 26 Running Shoes For Men,https://fkrt.cc/h15D0If,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/g/w/c/-original-imahddxb7zvwmmqq.jpeg?q=70,5400,11999,54%,Flipkart BBD Sale
Zig Dynamica Lite Running Shoes For Men,https://fkrt.cc/h9vlWJF,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/w/b/m/-original-imahg2tyr8bzhusp.jpeg?q=70,2100,4999,57%,Flipkart BBD Sale
CLOUD-GRIP Running Shoes For Men,https://fkrt.cc/hXRywkD,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/9/l/y/-original-imahgcs5gevzhwnt.jpeg?q=70,1950,4999,60%,Flipkart BBD Sale
